"longitude","latitude","value"
-87.880258,30.497478,7.945614
-85.803608,33.284928,7.3
-85.969858,34.288567,7.24386
-85.992647,33.991494,8.657386
-86.815,33.553056,9.751786
-86.815,33.553056,12.009756
-87.003611,33.331111,8.44
-86.549167,33.545278,7.18
-86.549167,33.545278,7.173333
-86.549167,33.545278,9.36383
-86.924167,33.499722,8.035
-86.924167,33.499722,8.48
-86.844112,33.521427,9.598113
-86.58816,34.68547,7.259322
-86.58816,34.68547,8.247826
-86.58816,34.68547,8.588235
-88.087761,30.770181,8.522917
-86.263394,32.412811,8.067857
-86.263394,32.412811,8.1
-86.967536,34.530717,7.6
-86.967536,34.530717,8.960773
-84.999653,32.437028,9.424138
-84.999653,32.437028,10.38764
-88.277992,32.362606,6.866667
-87.484189,33.189931,7.8
-87.484189,33.189931,8.72
-149.824602,61.205861,4.557143
-149.824602,61.205861,5.628019
-147.727413,64.84569,12.354601
-147.727413,64.84569,15.726531
-147.310279,64.762641,11.812162
-147.310279,64.762641,16.607843
-147.69327,64.84593,11.629605
-134.567237,58.388497,3.884
-134.567237,58.388497,4.669945
-149.031655,61.534163,3.063445
-109.438003,35.880404,2.802273
-109.438003,35.880404,3.130233
-113.5586,34.2439,4.780738
-112.14256,33.48378,9.2
-112.14256,33.48378,9.057353
-111.86536,33.41018,6.621164
-112.06619,33.56031,6.393035
-112.19193,33.57453,5.676303
-112.07526,33.40314,11.273301
-111.93471,33.41123,8.435849
-112.00264,33.41046,7.722857
-111.855443,33.488131,6.973333
-111.855443,33.488131,7.3
-112.11821,33.4265,8.842381
-112.095767,33.503833,8.025
-112.095767,33.503833,7.635484
-111.038389,32.322661,5.381215
-110.9823,32.29515,6.574138
-110.9823,32.29515,6.706433
-111.752222,32.877583,7.74386
-111.752222,32.877583,7.453107
-111.503222,33.421194,5.401695
-112.03705,32.884761,11.489286
-112.03705,32.884761,10.833333
-112.03705,32.884761,10.520904
-110.936718,31.337204,8.463333
-110.936718,31.337204,8.435206
-114.61444,32.690278,8.752612
-91.55896,34.518515,7.397143
-91.939208,33.139471,7.734783
-91.939208,33.139471,6.061538
-90.193141,35.197288,7.424324
-93.000178,34.469441,8.728571
-93.000178,34.469441,8.042857
-93.000178,34.469441,7.322222
-91.188906,35.637283,6.333333
-91.188906,35.637283,8.6375
-94.226234,34.583699,6.983784
-92.281296,34.756189,8.406364
-92.281296,34.756189,7.285714
-92.281296,34.756189,9.883122
-92.328697,34.681343,8.235
-92.328697,34.681343,9.482353
-92.672263,33.220563,8.847619
-92.672263,33.220563,9.15
-94.116827,36.1797,6.930556
-121.784217,37.687526,7.208597
-122.169935,37.743065,7.94321
-122.282347,37.814781,7.466529
-122.263376,37.793624,8.694191
-121.903019,37.701222,7.206695
-121.84047,39.76168,5.805917
-120.680277,38.20185,5.964912
-122.281803,39.021221,10.75
-121.99887,39.18919,6.422346
-122.026154,37.936013,6.654978
-122.356811,37.9604,9.093103
-119.77321,36.78538,12.552727
-119.77321,36.78538,13.187387
-119.658339,36.985119,6.570776
-120.382331,36.634225,8.953333
-119.7775,36.710833,14.914444
-119.716433,36.819449,13.605263
-119.733,36.72639,18.728049
-124.17949,40.77678,6.855172
-115.48307,32.67618,10.811111
-115.48307,32.67618,11.795349
-115.53917,32.97833,10.445856
-116.015997,33.379078,9.775745
-115.56306,32.79222,8.7
-115.56306,32.79222,8.896133
-118.330783,37.360684,3.927485
-118.330783,37.360684,3.107143
-117.871036,36.487823,5.793103
-117.871036,36.487823,6.278409
-118.049167,36.595556,5.489627
-118.417478,37.362137,8.254615
-118.293547,37.155494,3.647863
-119.015009,35.385574,16.135385
-119.015009,35.385574,31.426316
-119.062613,35.356615,13.665104
-119.062613,35.356615,13.857143
-118.997627,35.324636,15.958462
-117.715066,35.642943,4.109392
-118.162833,35.046528,4.192241
-119.56565,36.102244,13.938674
-119.643447,36.31567,13.28453
-122.91333,39.01893,3.88
-117.92391,34.1365,9.608929
